feature,gain,gain_share
payment_to_due_ratio_mean_3m,2900.842041015625,0.11352448644630991
payment_to_balance,2808.98974609375,0.10992984583421024
utilization_std_3m,1703.5689697265625,0.06666919111058056
cash_buffer_months,1630.620849609375,0.0638143655956318
payment_to_due_ratio,1257.8310546875,0.04922523270850846
utilization_std_6m,1021.6189575195312,0.03998106958475185
ever_30_plus_before_t,949.1840209960938,0.03714632751561276
missed_min_payment_count_3m,812.8396606445312,0.03181048941415497
utilization_change_1m,805.4894409179688,0.0315228384811061
missed_min_payment_rate_3m,761.0513916015625,0.029783754912958912
prior_30_plus_count_12m,644.6693115234375,0.025229140878271012
utilization_mean_3m,591.3590698242188,0.023142843959768837
utilization,512.9371337890625,0.020073800596277218
balance_to_income_change_1m,424.97137451171875,0.016631259601068864
utilization_slope_3m,414.6367492675781,0.016226813923962857
utilization_mean_6m,388.6723937988281,0.01521069857579061
macro_stress_index,282.55987548828125,0.011057983958309441
payment_to_due_ratio_std_6m,255.20196533203125,0.009987331831506569
balance_to_income_std_3m,248.19410705566406,0.009713079217725995
cash_buffer_months_std_3m,236.28903198242188,0.009247173968599986
cash_buffer_months_mean_6m,229.3081817626953,0.008973978315424881
purchase_to_limit_std_6m,222.90414428710938,0.00872335623558758
cash_buffer_months_mean_3m,222.62159729003906,0.008712298755626307
payment_to_due_ratio_slope_6m,220.49537658691406,0.00862908908409615
log_credit_limit,218.5568389892578,0.008553224393044671
missed_min_payment_count_6m,217.98619079589844,0.008530892069472183
payment_to_due_ratio_mean_6m,213.02052307128906,0.008336560606287126
debt_to_income,211.8328399658203,0.008290080614373436
account_age_months,198.07730102539062,0.007751757440644968
balance_to_income_mean_3m,192.1986846923828,0.007521697723230659
purchase_to_limit,190.20494079589844,0.007443672533043258
apr,188.85508728027344,0.0073908460002736825
cash_buffer_months_std_6m,186.1069793701172,0.0072832987657850705
cash_buffer_months_change_1m,181.83836364746094,0.007116246440667246
balance_to_income_slope_6m,181.12828063964844,0.007088457334036697
balance_to_income_slope_3m,180.71682739257812,0.007072355106507627
minimum_due_to_balance,178.3065643310547,0.00697802943403352
actual_payment,171.0991973876953,0.006695969046288824
payment_to_due_ratio_slope_3m,166.7920379638672,0.006527408312984891
minimum_payment_due,164.0784454345703,0.006421211838320895
purchase_to_limit_mean_3m,163.73812866210938,0.00640789353753911
monthly_income,162.67337036132812,0.006366224209262511
credit_limit,161.1288604736328,0.006305779797146066
balance_to_income_mean_6m,159.00318908691406,0.006222591623119751
purchase_to_limit_slope_3m,154.87994384765625,0.006061228373532037
purchase_to_limit_mean_6m,153.6566162109375,0.006013353432480282
scheduled_payment_due,153.2339630126953,0.005996812894734031
origination_pd,150.6605682373047,0.005896103060772318
purchase_to_limit_slope_6m,147.7211456298828,0.00578106872341853
balance_to_income,146.29283142089844,0.005725171630517137
purchase_to_limit_change_1m,146.05078125,0.00571569899431118
payment_to_due_ratio_std_3m,141.7012939453125,0.0055454817589057955
purchase_to_limit_std_3m,136.17129516601562,0.00532906519344241
utilization_slope_6m,135.44387817382812,0.0053005977211351306
cash_buffer_months_slope_6m,132.18521118164062,0.005173069751132977
cash_buffer_months_slope_3m,129.04208374023438,0.005050063422771843
credit_score_at_origination,124.81558227539062,0.004884659239615088
log_monthly_income,118.8116683959961,0.004649696001290156
balance_to_income_std_6m,113.14464569091797,0.0044279170029244514
balance,94.40853118896484,0.003694678947642822
payment_to_due_ratio_change_1m,91.96247863769531,0.003598952653078249
purchase_amount,48.185340881347656,0.0018857338663914897
any_missed_min_payment_3m,0.0,0.0
first_missed_min_payment_3m,0.0,0.0
missed_min_payment,0.0,0.0
missed_min_payment_rate_6m,0.0,0.0
any_missed_min_payment_6m,0.0,0.0
first_missed_min_payment_6m,0.0,0.0
missed_min_payment_int,0.0,0.0
months_since_last_30_plus,0.0,0.0
