account_id,observation_month,watchlist_rank,predicted_probability,target_deterioration_6m,months_to_deterioration,reason_feature_1,reason_value_1,reason_shap_1,reason_1,reason_feature_2,reason_value_2,reason_shap_2,reason_2,reason_feature_3,reason_value_3,reason_shap_3,reason_3
ACC000013,2022-01-31,1,1.0,1,1.0,cash_buffer_months,1.257,1.2195158004760742,Cash buffer is thin or deteriorating (cash_buffer_months=1.257),utilization_std_6m,0.1403714738352024,0.6420016884803772,Utilisation volatility is elevated (utilization_std_6m=0.140),payment_to_balance,0.0137113527872537,0.5419972538948059,Payment relative to balance is weak (payment_to_balance=0.014)
ACC000074,2022-01-31,2,1.0,1,2.0,utilization_std_3m,0.1435783758091727,0.8859807252883911,Utilisation volatility is elevated (utilization_std_3m=0.144),cash_buffer_months,2.208,0.8750891089439392,Cash buffer is thin or deteriorating (cash_buffer_months=2.208),utilization_change_1m,0.1759999999999999,0.8544917106628418,Utilisation increased recently (utilization_change_1m=0.176)
ACC000126,2022-01-31,3,1.0,1,2.0,cash_buffer_months,1.934,1.3011705875396729,Cash buffer is thin or deteriorating (cash_buffer_months=1.934),utilization_std_6m,0.146053447979384,0.6063843369483948,Utilisation volatility is elevated (utilization_std_6m=0.146),payment_to_balance,0.0170753137181135,0.5693264603614807,Payment relative to balance is weak (payment_to_balance=0.017)
ACC000132,2022-01-31,4,1.0,1,1.0,cash_buffer_months,1.736,0.9289296865463257,Cash buffer is thin or deteriorating (cash_buffer_months=1.736),utilization_std_3m,0.1572016963436897,0.8753427267074585,Utilisation volatility is elevated (utilization_std_3m=0.157),utilization_change_1m,0.1803999999999999,0.7206855416297913,Utilisation increased recently (utilization_change_1m=0.180)
ACC000150,2022-01-31,5,1.0,1,1.0,cash_buffer_months,1.977,0.9589782357215881,Cash buffer is thin or deteriorating (cash_buffer_months=1.977),utilization_std_3m,0.140055500903511,0.9063873887062073,Utilisation volatility is elevated (utilization_std_3m=0.140),utilization_change_1m,0.1379,0.8542889952659607,Utilisation increased recently (utilization_change_1m=0.138)
ACC000260,2022-01-31,6,1.0,1,3.0,utilization_std_3m,0.1136331964407114,0.9043671488761902,Utilisation volatility is elevated (utilization_std_3m=0.114),utilization_change_1m,0.1344999999999999,0.7490140199661255,Utilisation increased recently (utilization_change_1m=0.134),cash_buffer_months,2.439,0.724285900592804,Cash buffer is thin or deteriorating (cash_buffer_months=2.439)
ACC000263,2022-01-31,7,1.0,1,3.0,utilization_std_3m,0.1254609102469769,0.9504613876342773,Utilisation volatility is elevated (utilization_std_3m=0.125),cash_buffer_months,1.941,0.9142409563064575,Cash buffer is thin or deteriorating (cash_buffer_months=1.941),utilization_change_1m,0.1525999999999999,0.8153786659240723,Utilisation increased recently (utilization_change_1m=0.153)
ACC000274,2022-01-31,8,1.0,1,3.0,cash_buffer_months,1.215,1.2734874486923218,Cash buffer is thin or deteriorating (cash_buffer_months=1.215),utilization_std_6m,0.130033832776961,0.5797945261001587,Utilisation volatility is elevated (utilization_std_6m=0.130),payment_to_balance,0.0253458330608678,0.5669897198677063,Payment relative to balance is weak (payment_to_balance=0.025)
ACC000278,2022-01-31,9,1.0,1,1.0,cash_buffer_months,1.87,1.2807139158248901,Cash buffer is thin or deteriorating (cash_buffer_months=1.870),utilization_std_6m,0.182304821658672,0.6248056888580322,Utilisation volatility is elevated (utilization_std_6m=0.182),payment_to_balance,0.014233676793022,0.561981737613678,Payment relative to balance is weak (payment_to_balance=0.014)
ACC000294,2022-01-31,10,1.0,1,3.0,cash_buffer_months,2.18,0.9089507460594177,Cash buffer is thin or deteriorating (cash_buffer_months=2.180),utilization_std_3m,0.0860796336733222,0.8840675950050354,Utilisation volatility is elevated (utilization_std_3m=0.086),utilization_std_6m,0.1355496907656622,0.6536971926689148,Utilisation volatility is elevated (utilization_std_6m=0.136)
ACC000313,2022-01-31,11,1.0,1,4.0,cash_buffer_months,1.239,0.902019739151001,Cash buffer is thin or deteriorating (cash_buffer_months=1.239),utilization_std_3m,0.112201663683447,0.8523480296134949,Utilisation volatility is elevated (utilization_std_3m=0.112),utilization_change_1m,0.0897999999999999,0.6290640830993652,Utilisation increased recently (utilization_change_1m=0.090)
ACC000324,2022-01-31,12,1.0,1,4.0,cash_buffer_months,2.21,0.8593186736106873,Cash buffer is thin or deteriorating (cash_buffer_months=2.210),utilization_change_1m,0.1035999999999999,0.7151151895523071,Utilisation increased recently (utilization_change_1m=0.104),utilization_std_3m,0.0871544223395084,0.46688568592071533,Utilisation volatility is elevated (utilization_std_3m=0.087)
ACC000404,2022-01-31,13,1.0,1,4.0,utilization_change_1m,0.1378,0.9047611355781555,Utilisation increased recently (utilization_change_1m=0.138),utilization_std_3m,0.1263775824002558,0.8948085904121399,Utilisation volatility is elevated (utilization_std_3m=0.126),utilization_std_6m,0.1195320445180566,0.6352648735046387,Utilisation volatility is elevated (utilization_std_6m=0.120)
ACC000427,2022-01-31,14,1.0,1,1.0,cash_buffer_months,1.69,1.2453737258911133,Cash buffer is thin or deteriorating (cash_buffer_months=1.690),payment_to_balance,0.0162172877865637,0.5746190547943115,Payment relative to balance is weak (payment_to_balance=0.016),payment_to_due_ratio,0.3604,0.4566102623939514,Payment coverage is high (payment_to_due_ratio=0.360)
ACC000457,2022-01-31,15,1.0,1,4.0,utilization_change_1m,0.1185999999999999,1.0261855125427246,Utilisation increased recently (utilization_change_1m=0.119),cash_buffer_months,1.919,0.9775007963180542,Cash buffer is thin or deteriorating (cash_buffer_months=1.919),utilization_std_3m,0.1103553502705388,0.8565628528594971,Utilisation volatility is elevated (utilization_std_3m=0.110)
ACC000474,2022-01-31,16,1.0,1,4.0,utilization_change_1m,0.1475999999999999,0.9770644903182983,Utilisation increased recently (utilization_change_1m=0.148),utilization_std_3m,0.1194579563416907,0.8740622997283936,Utilisation volatility is elevated (utilization_std_3m=0.119),utilization_std_6m,0.1233328626117142,0.6384171843528748,Utilisation volatility is elevated (utilization_std_6m=0.123)
ACC000526,2022-01-31,17,1.0,1,3.0,cash_buffer_months,2.466,0.8071267008781433,Cash buffer is thin or deteriorating (cash_buffer_months=2.466),utilization_change_1m,0.1175,0.7423380017280579,Utilisation increased recently (utilization_change_1m=0.117),utilization_std_3m,0.081826055345062,0.5746759176254272,Utilisation volatility is elevated (utilization_std_3m=0.082)
ACC000548,2022-01-31,18,1.0,1,4.0,utilization_std_3m,0.1290522891441034,0.8811022043228149,Utilisation volatility is elevated (utilization_std_3m=0.129),cash_buffer_months,2.264,0.8588461875915527,Cash buffer is thin or deteriorating (cash_buffer_months=2.264),utilization_change_1m,0.1523999999999999,0.7930802702903748,Utilisation increased recently (utilization_change_1m=0.152)
ACC000577,2022-01-31,19,1.0,1,1.0,cash_buffer_months,2.234,1.126634955406189,Cash buffer is thin or deteriorating (cash_buffer_months=2.234),utilization_std_3m,0.1037498433733738,0.851012647151947,Utilisation volatility is elevated (utilization_std_3m=0.104),payment_to_balance,0.0169731535103567,0.5968769788742065,Payment relative to balance is weak (payment_to_balance=0.017)
